,n_EMPL,TOT_ARPU_3m,TOT_LINEAS_FYM,ARPU_F_3m,ARPU_M_3m,TOT_LINEAS_POT,cADSL,cFusionado,labels
112,4,76.9955,3,54.1555,22.84,2,1,1,1
113,0,182.7448,5,143.9348,38.81,0,1,1,0
114,16,221.2212,9,212.2212,9.0,0,0,0,0
115,44,391.5397,28,339.0997,52.44,1,0,0,0
116,2,4.6192,1,4.6192,0.0,2,0,0,1
117,1,31.05,1,0.0,31.05,0,0,0,1
118,5,16.7024,1,16.7024,0.0,0,0,0,1
119,12,31.3368,4,20.9968,10.34,0,0,0,1
120,2,29.62,1,0.0,29.62,0,0,0,1
121,2,28.73,1,0.0,28.73,0,0,0,1
122,0,14.379000000000001,1,14.379000000000001,0.0,0,0,0,1
123,2,59.1872,1,59.1872,0.0,2,0,0,1
124,4,83.4347,3,72.3347,11.1,1,0,0,1
125,7,74.6777,2,44.7677,29.91,0,1,1,1
126,7,83.6007,4,83.6007,0.0,0,1,0,1
127,3,66.3331,2,66.3331,0.0,0,0,0,1
128,3,89.3615,2,78.2115,11.15,0,1,1,1
129,0,60.7727,1,60.7727,0.0,0,1,0,1
130,0,170.7607,6,138.3207,32.44,0,1,1,0
131,0,156.8459,3,156.8459,0.0,0,0,0,0
132,28,195.1527,4,195.1527,0.0,0,1,0,0
133,0,165.1106,3,165.1106,0.0,0,0,0,0
134,5,158.80100000000002,2,158.80100000000002,0.0,0,0,0,0
135,6,20.445999999999998,1,20.445999999999998,0.0,0,0,0,1
136,7,21.0825,1,21.0825,0.0,0,0,0,1
137,3,45.5847,2,45.5847,0.0,0,1,0,1
138,15,14.379000000000001,1,14.379000000000001,0.0,0,0,0,1
139,9,26.953000000000003,1,26.953000000000003,0.0,0,0,0,1
140,0,40.3348,1,40.3348,0.0,0,0,0,1
141,0,38.146,2,22.096,16.05,0,0,0,1
142,1,11.7,1,0.0,11.7,0,0,0,1
143,0,101.1389,5,91.8889,9.25,0,0,0,1
144,1,56.2512,2,47.0012,9.25,0,1,1,1
145,0,81.7822,2,81.7822,0.0,0,0,0,1
146,6,94.553,2,94.553,0.0,0,0,0,1
147,6,138.5032,4,127.5032,11.0,0,0,0,1
148,7,48.4585,1,48.4585,0.0,0,1,0,1
149,1,334.3876,7,218.5876,115.8,0,1,0,0
150,14,161.2596,2,161.2596,0.0,0,0,0,0
151,10,213.2052,4,213.2052,0.0,0,0,0,0
152,9,37.8129,1,37.8129,0.0,1,0,0,1
153,2,67.86,2,0.0,67.86,0,0,0,1
154,13,40.327,3,40.327,0.0,0,0,0,1
155,11,14.379000000000001,1,14.379000000000001,0.0,1,0,0,1
156,6,51.7065,3,31.6065,20.1,0,0,0,1
157,2,81.7802,3,50.9202,30.86,0,1,1,1
158,2,101.2011,4,51.4611,49.74,0,1,1,1
159,2,67.9348,1,67.9348,0.0,0,1,0,1
160,0,100.3852,2,100.3852,0.0,0,0,0,1
161,4,184.8569,3,131.7169,53.14,0,1,1,0
162,1,439.7754,5,354.7154,85.06,0,1,1,0
163,16,220.7368,4,200.7368,20.0,0,0,0,0
164,31,66.13,1,0.0,66.13,2,0,0,1
165,2,14.379000000000001,1,14.379000000000001,0.0,0,0,0,1
166,0,16.7024,1,16.7024,0.0,0,0,0,1
167,3,25.4656,1,25.4656,0.0,0,0,0,1
168,2,56.7133,2,45.7133,11.0,0,1,1,1
169,0,54.9847,1,54.9847,0.0,0,1,0,1
170,3,105.9168,3,59.2268,46.69,0,1,1,1
171,0,134.6992,4,109.1992,25.5,0,0,0,1
172,3,57.8179,1,57.8179,0.0,0,1,0,1
173,2,125.5227,2,125.5227,0.0,0,1,0,1
174,7,82.7831,2,82.7831,0.0,0,0,0,1
175,0,2410.46,1,0.0,2410.46,0,0,0,3
176,1,165.3428,3,131.5328,33.81,0,0,0,0
177,2,26.31,1,0.0,26.31,0,0,0,1
178,2,7.7,1,0.0,7.7,0,0,0,1
179,4,43.1058,1,43.1058,0.0,0,0,0,1
180,0,14.379000000000001,3,14.379000000000001,0.0,0,0,0,1
181,0,16.4451,1,16.4451,0.0,0,0,0,1
182,0,25.25,1,0.0,25.25,0,0,0,1
183,0,9.92,1,0.0,9.92,0,0,0,1
184,0,93.6248,1,93.6248,0.0,0,1,0,1
185,0,60.2429,6,60.2429,0.0,0,0,0,1
186,1,187.6715,5,143.9915,43.68,0,1,0,0
187,15,203.4896,4,149.1596,54.33,0,0,0,0
188,4,25.36,2,0.0,25.36,0,0,0,1
189,3,13.18,1,0.0,13.18,0,0,0,1
190,0,20.4119,1,20.4119,0.0,0,0,0,1
191,14,26.4023,1,26.4023,0.0,0,1,0,1
192,0,24.171999999999997,1,24.171999999999997,0.0,0,0,0,1
193,40,19.0,1,0.0,19.0,0,0,0,1
194,3,29.049,1,29.049,0.0,0,0,0,1
195,7,46.57,1,0.0,46.57,0,0,0,1
196,0,15.9162,1,15.9162,0.0,0,0,0,1
197,10,28.758000000000003,2,28.758000000000003,0.0,0,0,0,1
198,13,115.2901,4,96.7901,18.5,0,1,0,1
199,2,49.8664,1,49.8664,0.0,0,1,0,1
200,0,200.9362,8,140.4862,60.45,0,0,0,0
201,3,166.618,4,166.618,0.0,0,0,0,0
202,0,21.6338,1,21.6338,0.0,0,0,0,1
203,1,37.99,2,0.0,37.99,0,0,0,1
204,0,5.06,1,0.0,5.06,0,0,0,1
205,0,288.2334,7,208.3934,79.84,0,1,0,0
206,4,30.2273,1,30.2273,0.0,0,0,0,1
207,4,39.9774,1,39.9774,0.0,0,1,0,1
208,1,41.1568,1,41.1568,0.0,0,1,0,1
209,1,41.4263,2,33.0563,8.37,0,1,1,1
210,0,44.1311,1,44.1311,0.0,0,1,0,1
211,1,39.6599,1,39.6599,0.0,0,1,0,1
212,2,77.0123,2,53.0223,23.99,0,1,1,1
213,4,58.1137,2,47.5037,10.61,0,1,1,1
214,2,69.9953,4,39.2853,30.71,0,1,1,1
215,2,54.3079,1,54.3079,0.0,0,1,0,1
216,4,68.4378,2,50.7278,17.71,0,1,1,1
217,2,79.8586,1,79.8586,0.0,0,1,0,1
218,1,115.0317,3,99.2317,15.8,0,1,1,1
219,7,96.1196,2,96.1196,0.0,0,1,0,1
220,4,74.1404,1,74.1404,0.0,0,0,0,1
221,6,144.0594,2,144.0594,0.0,0,0,0,0
222,2,25.6529,1,25.6529,0.0,0,0,0,1
223,1,14.379000000000001,1,14.379000000000001,0.0,0,0,0,1
224,2,47.63,1,0.0,47.63,0,0,0,1
225,3,16.0378,1,16.0378,0.0,0,0,0,1
226,0,9.92,1,0.0,9.92,0,0,0,1
227,0,31.48,1,0.0,31.48,0,0,0,1
228,4,4.1153,1,4.1153,0.0,0,0,0,1
229,0,40.2093,2,40.2093,0.0,0,0,0,1
230,6,43.4398,3,35.0598,8.38,0,1,1,1
231,2,96.4119,4,62.0219,34.39,0,0,0,1
232,2,109.8658,3,41.4258,68.44,0,1,1,1
233,12,128.1318,2,128.1318,0.0,0,1,0,1
234,19,85.0935,3,76.7735,8.32,0,0,0,1
235,0,240.9575,7,129.9675,110.99,0,0,0,0
236,5,34.58,2,0.0,34.58,0,0,0,1
237,1,39.9988,1,39.9988,0.0,1,1,0,1
238,3,19.3078,1,19.3078,0.0,0,0,0,1
239,0,32.1,1,0.0,32.1,0,0,0,1
240,0,42.8576,2,34.3376,8.52,0,1,1,1
241,5,29.61,1,0.0,29.61,0,0,0,1
242,7,39.9988,1,39.9988,0.0,0,1,0,1
243,5,91.156,4,45.716,45.44,0,1,1,1
244,5,87.8451,2,87.8451,0.0,0,0,0,1
245,1,58.1544,2,47.6744,10.48,0,1,1,1
246,1,255.8745,7,147.7745,108.1,0,0,0,0
247,0,315.7243,5,315.7243,0.0,0,1,0,0
248,1,261.1037,6,209.3737,51.73,0,1,0,0
249,5,179.4904,4,137.7704,41.72,0,1,0,0
250,4,0.1479,1,0.1479,0.0,2,0,0,1
251,0,42.298,2,42.298,0.0,0,0,0,1
252,0,36.8973,1,36.8973,0.0,0,0,0,1
253,2,7.82,1,0.0,7.82,0,0,0,1
254,13,28.758000000000003,2,28.758000000000003,0.0,1,0,0,1
255,0,50.3524,2,35.0324,15.32,0,1,1,1
256,2,49.0715,2,34.2815,14.79,0,1,1,1
257,0,24.28,1,0.0,24.28,0,0,0,1
258,0,12.92,1,0.0,12.92,0,0,0,1
259,0,41.58,1,0.0,41.58,0,0,0,1
260,1,21.1267,3,21.1267,0.0,0,0,0,1
261,0,18.08,1,0.0,18.08,0,0,0,1
262,0,76.4475,7,62.0275,14.42,0,1,1,1
263,3,99.4302,4,78.3702,21.06,0,0,0,1
264,1,112.0948,3,47.8148,64.28,0,1,1,1
265,11,86.1409,3,77.7209,8.42,0,1,1,1
266,1,396.0803,6,251.1803,144.9,0,1,0,0
267,8,43.8846,4,14.8346,29.05,0,0,0,1
268,6,23.5082,1,23.5082,0.0,0,0,0,1
269,7,26.8367,1,26.8367,0.0,0,0,0,1
270,0,45.6506,1,45.6506,0.0,0,1,0,1
271,1,23.45,1,0.0,23.45,0,0,0,1
272,1,46.1088,1,46.1088,0.0,0,0,0,1
273,3,30.45,1,0.0,30.45,0,0,0,1
274,3,113.7675,2,113.7675,0.0,0,1,0,1
275,6,125.376,4,89.676,35.7,0,1,1,1
276,0,99.5133,2,99.5133,0.0,0,1,0,1
277,0,329.7037,7,261.3137,68.39,0,1,0,0
278,2,141.3575,2,141.3575,0.0,0,1,0,0
279,0,18.8793,1,18.8793,0.0,0,0,0,1
280,1,22.3028,1,22.3028,0.0,0,0,0,1
281,2,28.7437,1,28.7437,0.0,0,0,0,1
282,1,20.05,1,0.0,20.05,0,0,0,1
283,0,35.95,2,0.0,35.95,0,0,0,1
284,0,14.6926,1,14.6926,0.0,0,0,0,1
285,5,32.3541,2,32.3541,0.0,0,0,0,1
286,3,36.2664,1,36.2664,0.0,0,0,0,1
287,3,33.9645,2,33.9645,0.0,0,0,0,1
288,0,121.429,4,112.939,8.49,0,0,0,1
289,1,128.4221,6,96.3221,32.1,0,0,0,1
290,0,71.4433,2,59.6633,11.78,0,1,1,1
291,0,232.6945,6,140.1145,92.58,0,0,0,0
292,1,179.0372,6,135.7872,43.25,0,1,1,0
293,6,33.6203,2,33.6203,0.0,0,0,0,1
294,8,24.6157,1,24.6157,0.0,0,0,0,1
295,0,57.0273,2,11.3173,45.71,0,0,0,1
296,0,57.4,1,0.0,57.4,0,0,0,1
297,1,24.017,1,24.017,0.0,0,0,0,1
298,2,63.84,1,63.84,0.0,0,1,0,1
299,10,78.0343,2,78.0343,0.0,0,0,0,1
300,1,234.2623,6,155.8423,78.42,0,0,0,0
301,5,64.7486,2,46.2386,18.51,0,1,1,1
302,2,100.1435,3,76.7535,23.39,0,1,1,1
303,2,96.3288,4,45.9888,50.34,0,1,1,1
304,2,62.658,2,46.148,16.51,0,1,1,1
305,4,56.5998,2,48.2798,8.32,0,1,1,1
306,2,134.1343,2,134.1343,0.0,1,1,0,1
307,2,51.2248,2,41.4848,9.74,0,1,1,1
308,0,250.4201,6,236.4901,13.93,0,0,0,0
309,0,176.1932,3,176.1932,0.0,0,0,0,0
310,0,182.0273,7,128.3573,53.67,0,1,0,0
311,4,229.4595,5,151.8295,77.63,0,1,1,0
312,5,24.4845,2,13.6345,10.85,0,0,0,1
313,0,36.1446,1,36.1446,0.0,0,0,0,1
314,5,17.8,1,0.0,17.8,0,0,0,1
315,4,52.1184,1,52.1184,0.0,1,1,0,1
316,3,112.6374,3,94.8774,17.76,0,1,1,1
317,2,59.9521,1,59.9521,0.0,0,1,0,1
318,0,62.2196,7,51.3796,10.84,0,1,1,1
319,0,421.6099,15,151.7799,269.83,0,1,0,0
320,2,45.9011,1,45.9011,0.0,0,1,0,1
321,4,44.1991,1,44.1991,0.0,0,1,0,1
322,2,72.7869,2,55.1269,17.66,0,1,1,1
323,0,161.1554,3,161.1554,0.0,0,0,0,0
324,0,227.9411,7,141.6211,86.32,0,1,1,0
325,13,94.6557,3,86.3157,8.34,0,1,1,1
326,0,90.3711,2,90.3711,0.0,1,0,0,1
327,2,57.5912,2,39.9312,17.66,0,1,1,1
328,2,96.6905,5,46.7205,49.97,0,1,1,1
329,2,98.6044,4,48.6844,49.92,0,1,1,1
330,0,127.0783,6,81.8183,45.26,0,1,1,1
331,5,690.0935,15,40.3135,649.78,0,1,1,4
332,0,385.6066,7,327.1066,58.5,0,0,0,0
333,0,210.7454,7,155.3254,55.42,0,1,1,0
334,2,81.1896,3,46.7996,34.39,0,1,1,1
335,3,76.81,3,54.91,21.9,0,1,1,1
336,0,57.4931,1,57.4931,0.0,0,0,0,1
337,5,80.3623,2,59.2323,21.13,0,1,1,1
338,3,41.8866,2,41.8866,0.0,0,0,0,1
339,2,17.5903,1,17.5903,0.0,0,0,0,1
340,0,53.17,2,0.0,53.17,0,0,0,1
341,8,20.0738,1,20.0738,0.0,0,0,0,1
342,1,13.44,1,0.0,13.44,0,0,0,1
343,0,10.33,1,0.0,10.33,0,0,0,1
344,3,16.5677,1,16.5677,0.0,0,0,0,1
345,0,51.3359,2,51.3359,0.0,0,0,0,1
346,1,134.8537,4,124.4737,10.38,0,0,0,1
347,1,106.5329,4,83.8029,22.73,0,1,1,1
348,0,59.1311,1,59.1311,0.0,0,1,0,1
349,2,42.27,1,0.0,42.27,0,0,0,1
350,34,21.1218,1,21.1218,0.0,0,0,0,1
351,2,53.7171,1,53.7171,0.0,0,1,0,1
352,3,92.0418,3,46.2718,45.77,0,1,1,1
353,2,14.6847,1,14.6847,0.0,1,0,0,1
354,2,62.6007,2,50.6007,12.0,0,1,1,1
355,0,118.9281,8,68.6581,50.27,0,1,1,1
356,0,123.2583,2,123.2583,0.0,0,1,0,1
357,5,110.2147,3,110.2147,0.0,0,1,0,1
358,0,73.4355,2,73.4355,0.0,0,1,0,1
359,1,214.7121,6,137.3921,77.32,0,1,0,0
360,0,183.0111,6,139.1711,43.84,0,1,1,0
361,3,31.9,1,0.0,31.9,0,0,0,1
362,0,14.379000000000001,1,14.379000000000001,0.0,0,0,0,1
363,0,34.703,1,34.703,0.0,0,0,0,1
364,1,10.32,1,0.0,10.32,0,0,0,1
365,0,31.0814,2,31.0814,0.0,0,0,0,1
366,2,11.45,1,0.0,11.45,0,0,0,1
367,0,51.61,1,0.0,51.61,0,0,0,1
368,0,9.92,1,0.0,9.92,0,0,0,1
369,0,21.8038,1,21.8038,0.0,0,0,0,1
370,0,287.9314,6,231.3214,56.61,0,1,0,0
371,4,24.74,2,0.0,24.74,0,0,0,1
372,2,50.25899999999999,2,14.379000000000001,35.88,0,0,0,1
373,0,21.404,1,21.404,0.0,0,0,0,1
374,0,46.619,1,46.619,0.0,0,1,0,1
375,4,26.8209,1,26.8209,0.0,0,0,0,1
376,0,40.1637,1,40.1637,0.0,0,1,0,1
377,13,16.7024,1,16.7024,0.0,0,0,0,1
378,3,12.13,1,0.0,12.13,0,0,0,1
379,2,7.88,1,0.0,7.88,0,0,0,1
380,6,50.3654,2,15.2054,35.16,0,0,0,1
381,2,31.9395,1,31.9395,0.0,0,0,0,1
382,0,75.4917,4,75.4917,0.0,0,0,0,1
383,6,22.4561,1,22.4561,0.0,1,0,0,1
384,20,6538.16,1,0.0,6538.16,0,0,0,2
385,0,207.7811,6,146.0311,61.75,0,0,0,0
386,1,29.05,2,0.0,29.05,1,0,0,1
387,15,21.1218,1,21.1218,0.0,1,0,0,1
388,15,28.758000000000003,2,28.758000000000003,0.0,0,0,0,1
389,4,70.0273,2,49.9173,20.11,0,1,1,1
390,2,85.3078,5,36.2678,49.04,0,1,1,1
391,7,81.5274,3,63.8674,17.66,0,1,1,1
392,11,44.8917,1,44.8917,0.0,0,0,0,1
393,8,45.0422,1,45.0422,0.0,0,1,0,1
394,1,40.2331,1,40.2331,0.0,0,0,0,1
395,0,12.68,1,0.0,12.68,0,0,0,1
396,0,29.77,1,0.0,29.77,0,0,0,1
397,4,20.3891,1,20.3891,0.0,0,0,0,1
398,0,22.4061,1,22.4061,0.0,0,0,0,1
399,1,247.8547,6,180.1947,67.66,0,1,1,0
400,4,48.0624,2,39.6924,8.37,0,1,1,1
401,15,63.5034,2,53.1734,10.33,0,1,1,1
402,0,80.9449,2,80.9449,0.0,0,1,0,1
403,2,121.1664,4,84.5664,36.6,0,0,0,1
404,0,147.1663,3,147.1663,0.0,0,0,0,0
405,1,15.16,1,0.0,15.16,0,0,0,1
406,7,47.82,2,0.0,47.82,0,0,0,1
407,13,43.8013,2,43.8013,0.0,1,0,0,1
408,2,131.4797,3,116.1497,15.33,0,1,1,1
409,3,88.6784,3,55.2084,33.47,0,1,1,1
410,0,141.6546,2,141.6546,0.0,0,1,0,0
411,0,197.9949,2,197.9949,0.0,0,1,0,0
412,2,45.1166,1,45.1166,0.0,0,1,0,1
413,3,38.8335,1,38.8335,0.0,0,1,0,1
414,0,9.92,1,0.0,9.92,0,0,0,1
415,1,39.27,2,0.0,39.27,0,0,0,1
416,0,29.379,1,29.379,0.0,0,1,0,1
417,5,47.9931,1,47.9931,0.0,0,1,0,1
418,2,835.0634,5,113.6334,721.43,0,1,1,4
419,8,34.8624,1,34.8624,0.0,0,0,0,1
420,1,38.2967,2,38.2967,0.0,0,0,0,1
421,18,0.0,1,0.0,0.0,1,0,0,1
422,6,79.4775,2,60.0675,19.41,0,1,1,1
423,4,66.4678,2,40.1178,26.35,0,1,1,1
424,3,82.2597,3,43.0497,39.21,0,1,1,1
425,10,80.202,3,80.202,0.0,0,0,0,1
426,0,205.9309,6,146.5709,59.36,0,0,0,0
427,5,29.6449,1,29.6449,0.0,0,0,0,1
428,10,88.1676,2,88.1676,0.0,0,1,0,1
429,0,310.6929,7,213.7929,96.9,0,0,0,0
430,7,165.2449,3,165.2449,0.0,0,0,0,0
431,2,27.3558,1,27.3558,0.0,0,0,0,1
432,2,87.5735,3,59.6235,27.95,0,1,1,1
433,0,95.8618,7,53.1318,42.73,0,1,1,1
434,0,68.1852,3,68.1852,0.0,0,1,0,1
435,3,131.5681,3,108.7881,22.78,0,1,0,1
436,0,233.5254,6,179.2254,54.3,0,1,0,0
437,0,188.6326,6,154.1126,34.52,0,1,0,0
438,1,179.7612,6,127.8612,51.9,0,1,0,0
439,1,242.4382,6,155.1982,87.24,0,1,0,0
440,2,178.7953,4,160.9853,17.81,0,1,0,0
441,1,361.3277,5,361.3277,0.0,0,0,0,0
442,5,31.6385,1,31.6385,0.0,0,0,0,1
443,5,100.4566,3,41.0466,59.41,0,1,1,1
444,3,146.789,2,146.789,0.0,1,0,0,0
445,1,144.6855,1,144.6855,0.0,2,1,0,0
